species,method,experiment,Fetot.nM,freeFe.pm,cell.Fe,cell.C,FetoC.ratio,ChltoC.ratio,cellvol.um3,mu.perD,uptakerate,max.diff,diff.frac,,,,
E. huxleyi,total,106,1.2,2,,,,,13.2,0.53,,,,,,,
E. huxleyi,total,106,2.3,3.9,66,16,4.1,0.269,13.3,0.77,51,417,0.123,,,,
E. huxleyi,total,106,4.3,7.1,79,13,6,0.427,13.7,0.92,72,750,0.096,,,,
E. huxleyi,total,106,11.9,19.7,216,13,18.1,0.541,14.3,1.09,236,2030,0.117,,,,
E. huxleyi,total,106,31.4,52,232,12,19.4,0.502,15.7,1.1,257,5010,0.051,,,,
E. huxleyi,total,106,101,167,266,12,22.2,0.431,16.4,1.12,299,15700,0.019,,,,
E. huxleyi,total,126,1.2,3,,17.7,,,17.9,0.7,,,,,,,
E. huxleyi,total,126,2,5,59,15.9,3.7,0.182,17.7,0.88,52,443,0.117,,,,
E. huxleyi,total,126,3.9,9.7,138,12.5,11,0.303,20.2,0.99,136,793,0.172,,,,
E. huxleyi,total,126,9.7,24.2,165,12.4,13.3,0.346,20.2,1.1,181,1980,0.091,,,,
E. huxleyi,total,126,28.3,71,312,11.8,26.3,0.313,22.9,1.07,311,5330,0.062,,,,
E. huxleyi,total,126,101,253,341,10.3,33.2,0.0387,21.8,1.04,354,19700,0.018,,,,
E. huxleyi,intracellular,126,2,5,50,15.9,3.1,0.182,17.7,0.88,44,443,0.117,,,,
E. huxleyi,intracellular,126,3.9,9.7,133,12.5,10.7,0.303,20.2,0.99,132,793,0.172,,,,
E. huxleyi,intracellular,126,9.7,24.2,160,12.4,12.9,0.346,20.2,1.1,176,1980,0.091,,,,
E. huxleyi,intracellular,126,28.3,71,291,11.8,24.6,0.313,22.9,1.07,331,5330,0.062,,,,
E. huxleyi,intracellular,126,101,253,464,10.3,45.3,0.0387,21.8,1.04,483,19700,0.018,,,,
E. huxleyi,intracellular,126,299,750,295,12.2,24.2,0.32,22.1,1.12,330,57700,0.006,,,,
E. huxleyi,total,127a,1.2,3,,15.9,,0.181,16.8,0.69,,,,,,,
E. huxleyi,total,127a,2,5.1,66,16.3,4.1,0.21,16.9,0.95,62.9,470,0.134,,,,
E. huxleyi,total,127a,3.7,9.3,111,13,8.5,0.248,18.1,1.05,116,819,0.142,,,,
E. huxleyi,total,127b,1.2,3.1,,13.5,,0.293,17.5,0.81,,,,,,,
E. huxleyi,total,127b,2,5.1,73,16.1,4.6,0.18,18.6,0.89,65.3,440,0.148,,,,
E. huxleyi,total,127b,3.7,9.3,104,13.2,7.9,0.225,19.6,1.05,109,776,0.14,,,,
E. huxleyi,total,127b,7.7,19.3,134,13.7,9.8,0.245,21.5,1.18,158,1510,0.104,,,,
E. huxleyi,intracellular,127b,7.7,19.3,113,13.7,8.3,0.245,21.5,1.18,133,1510,0.088,,,,
